"time","P"
0,10
1,11.6797829476251
2,13.738344146389
3,16.2226890426432
4,19.2147501639809
5,22.4446602282502
6,26.2899122135536
7,30.556303633743
8,35.1611883318955
9,39.9522665314738
10,45.2918355943767
11,51.4739905594577
12,57.2256514811588
13,63.1930903764177
14,68.5904053199003
15,73.9647163228743
16,80.5313689438376
17,86.3509132251376
18,91.6125939358154
19,96.8742658792385
20,101.639728683694
21,106.455580335774
22,110.047698471927
23,112.779299181503
24,116.294513001747
25,117.044401769677
26,119.265041440656
27,122.01593054824
28,123.643745206922
29,123.86402492638
30,124.784591073661
31,124.251245320478
32,124.430839944575
33,124.250252504174
34,123.915530447867
35,123.673711274256
36,125.108244096418
37,126.559633629816
38,127.12664621672
39,124.97496859827
40,124.691370965387
41,125.566009656338
42,127.263888217039
43,126.400802445442
44,123.982932385511
45,125.849682022003
46,124.555722459613
47,125.765576209302
48,125.499820388647
49,125.596752301481
50,124.415463708636
51,127.381779775185
52,125.586939738955
53,125.330858663029
54,126.849141312773
55,125.578368518039
56,125.369232272034
57,124.246631712516
58,122.2222450756
59,123.22489703211
60,123.360217407731
61,123.371136042327
62,121.521743066153
63,120.731247937046
64,123.410559098603
65,124.526895440891
66,122.615835508273
67,124.149589181996
68,124.790923304957
69,126.007281834137
70,124.438857725
71,125.918579264336
72,125.534073432155
73,125.01279714575
74,126.260154817091
75,125.578993244574
76,124.681247768919
77,124.592812053189
78,125.273697712818
79,125.752260625624
80,124.161991301556
81,123.482001290346
82,122.663905241944
83,124.245237085562
84,123.676454878984
85,123.222012186009
86,122.591091440703
87,124.083668833109
88,123.855781135169
89,124.335366876429
90,124.078655607468
91,123.342772213106
92,124.163976233424
93,126.213837459577
94,124.807203381207
95,123.979687885729
96,124.4624593026
97,127.471347604515
98,127.522404861119
99,126.181164923008
100,125.538992324488
101,126.395135928754
102,123.773709733354
103,123.843710619928
104,121.69815797616
105,121.931785351682
106,122.959201119946
107,125.441256441959
108,122.979341034043
109,124.125318489095
110,123.062756258583
111,124.46683658712
112,124.14497973761
113,122.513634355014
114,124.979209047146
115,123.62371248348
116,122.478716001889
117,123.296864775254
118,122.247179669051
119,121.546893287251
120,121.367292036856
121,122.019707184667
122,124.615909839737
123,123.040062431684
124,121.566206072211
125,123.284096764018
126,123.932355475319
127,124.563364437539
128,124.722204009145
129,127.152033813421
130,124.785482535791
131,125.994461654519
132,126.022858094314
133,127.964268775156
134,125.998254121876
135,125.10379504075
136,126.716913893111
137,126.912229151996
138,127.557129519215
139,128.05943129226
140,128.947966322763
141,128.254829211949
142,127.940424466036
143,129.28775141076
144,125.8578765043
145,126.527724192157
146,127.70458705847
147,128.107231394179
148,126.73883474544
149,126.558769715846
150,124.134043665768
151,124.760877538677
152,124.126248886109
153,125.333564103818
154,123.383376222213
155,124.584693069766
156,124.328465989087
157,124.154966180724
158,124.425642042828
159,124.301942738921
160,121.767387296792
161,120.747496515461
162,121.974228566309
163,121.901154639212
164,123.612304311948
165,123.805490743318
166,124.877616879911
167,126.403160019587
168,125.784082044236
169,124.069244503728
170,126.045341721717
171,126.693043124076
172,126.696409861286
173,125.530648056372
174,125.548452414679
175,123.63989830784
176,125.102841386914
177,126.628869622256
178,126.520754557688
179,124.36607081406
180,123.575785093712
181,124.596333583329
182,123.887274272385
183,124.702484601362
184,124.953841767566
185,124.972783447133
186,125.706453994788
187,126.028185410341
188,124.953822375658
189,127.67286922758
190,127.191853746951
191,127.47454170685
192,128.25767077647
193,125.616850892051
194,126.418183151878
195,125.954953477263
196,124.7620139333
197,125.081005329539
198,126.248978059953
199,127.625520908584
200,127.746663908056
201,128.76593034971
202,128.032311846864
203,126.478890871869
204,125.204149072757
205,127.212364170698
206,125.557943747588
207,125.839430887957
208,126.507333863418
209,126.468540399707
210,124.847637334084
211,124.317086088608
212,124.993199273788
213,123.415577483102
214,123.502946459565
215,123.99872197267
216,124.103815132964
217,125.034476548213
218,125.575966979871
219,125.759685427023
220,123.481119484931
221,123.526589628798
222,124.923339594207
223,126.383323475814
224,125.654938606614
225,124.834860945725
226,125.795680578798
227,127.204495654205
228,126.386942045656
229,126.155662917964
230,125.467378169358
231,123.85401313977
232,123.286979630095
233,124.694397532659
234,125.358698106461
235,125.515810312998
236,123.906704055768
237,124.365346775097
238,124.181890266338
239,126.887226040115
240,124.917600489755
241,125.966689524932
242,125.333512946773
243,125.780612932921
244,124.818886466343
245,125.885383412597
246,125.25175089035
247,126.861215953342
248,125.938439717941
249,127.576730970534
250,126.67307569615
251,124.477621863303
252,124.318392265133
253,123.390299014096
254,124.182120408658
255,124.025215388044
256,125.364607536005
257,124.320175380185
258,122.672977839137
259,122.453985657816
260,120.096776179975
261,122.455700025795
262,122.589154662191
263,123.90556636784
264,124.789004399041
265,125.175405599786
266,124.492445861496
267,124.920203247213
268,124.417574022607
269,126.080424817855
270,127.281316554733
271,126.60254091859
272,128.00481686053
273,127.579296000512
274,127.060715528062
275,127.693272736909
276,127.337178849198
277,126.075482925079
278,125.264368615816
279,125.218517842018
280,125.358605827454
281,127.019223921396
282,124.870961158553
283,125.186784313509
284,125.384078072052
285,127.142879725688
286,127.094939927635
287,126.272777173101
288,126.862896176582
289,126.601743492149
290,126.64845304596
291,125.323967641665
292,124.031997597685
293,125.63583304602
294,125.783696554714
295,123.103808804486
296,121.644592003214
297,123.200225022328
298,124.473779100394
299,124.893118038201
300,124.483841136536
